categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_mayuscula,Jesé,Jesé,MR2AHpE,ID_Y_HEADER_EXISTEN,MR2AHpE,Jesé
empieza_con_mayuscula,Jesús,Jesús,MRGvkek,ID_Y_HEADER_EXISTEN,MRGvkek,Jesús
empieza_con_mayuscula,Jiménez,Jiménez,MTAGuf3,ID_Y_HEADER_EXISTEN,MTAGuf3,Jiménez
empieza_con_mayuscula,Job,Job,MUvFZE2,ID_Y_HEADER_EXISTEN,MUvFZE2,Job
empieza_con_mayuscula,José,José,MXXTjIR,ID_Y_HEADER_EXISTEN,MXXTjIR,José
empieza_con_mayuscula,Juanelo,Juanelo,MYe6Sdo,ID_Y_HEADER_EXISTEN,MYe6Sdo,Juanelo
empieza_con_mayuscula,Judea,Judea,MZc1qI1,ID_Y_HEADER_EXISTEN,MZc1qI1,Judea
empieza_con_mayuscula,Koch,Koch,Mi88esE,ID_Y_HEADER_EXISTEN,Mi88esE,Koch
empieza_con_mayuscula,Leiden,Leiden,N5eEqKY,ID_Y_HEADER_EXISTEN,N5eEqKY,Leiden
empieza_con_mayuscula,Lepe,Lepe,N9Ee2WU,ID_Y_HEADER_EXISTEN,N9Ee2WU,Lepe
empieza_con_mayuscula,Loja,Loja,Na31RmH,ID_Y_HEADER_EXISTEN,Na31RmH,Loja
empieza_con_mayuscula,Lombardía,Lombardía,NaNMudC,ID_Y_HEADER_EXISTEN,NaNMudC,Lombardía
mayusculas,LP,LP,NdSmI8k,ID_Y_HEADER_EXISTEN,NdSmI8k,LP
mayusculas,LSD,LSD,NdTwE3T,ID_Y_HEADER_EXISTEN,NdTwE3T,LSD
empieza_con_mayuscula,Lucía,Lucía,NedOJFD,ID_Y_HEADER_EXISTEN,NedOJFD,Lucía
empieza_con_mayuscula,Líbano,Líbano,NDyAKLE,ID_Y_HEADER_EXISTEN,NDyAKLE,Líbano
empieza_con_mayuscula,López,López,Nbxn2nt,ID_Y_HEADER_EXISTEN,Nbxn2nt,López
empieza_con_mayuscula,Madrid,Madrid,NqKY4wJ,ID_Y_HEADER_EXISTEN,NqKY4wJ,Madrid
empieza_con_mayuscula,Marigargajo,Marigargajo,OPoNth3,ID_Y_HEADER_EXISTEN,OPoNth3,Marigargajo
empieza_con_mayuscula,Mazagatos,Mazagatos,OgWZm2W,ID_Y_HEADER_EXISTEN,OgWZm2W,Mazagatos
empieza_con_mayuscula,Misiones,Misiones,POtAWQ6,ID_Y_HEADER_EXISTEN,POtAWQ6,Misiones
empieza_con_mayuscula,Moctezuma,Moctezuma,PTF2ICE,ID_Y_HEADER_EXISTEN,PTF2ICE,Moctezuma
empieza_con_mayuscula,México,México,P8xNYa2,ID_Y_HEADER_EXISTEN,P8xNYa2,México
empieza_con_mayuscula,Móstoles,Móstoles,PvBgPWG,ID_Y_HEADER_EXISTEN,PvBgPWG,Móstoles
empieza_con_mayuscula,Nancy,Nancy,QEAHFfd,ID_Y_HEADER_EXISTEN,QEAHFfd,Nancy
empieza_con_mayuscula,Neoclasicismo,Neoclasicismo,QOGQ4Fo,ID_Y_HEADER_EXISTEN,QOGQ4Fo,Neoclasicismo
mayusculas,NIF,NIF,QUs4YvZ,ID_Y_HEADER_EXISTEN,QUs4YvZ,NIF
mayusculas,NN,NN,QXiM8Ka,ID_Y_HEADER_EXISTEN,QXiM8Ka,NN
empieza_con_mayuscula,Nochevieja,Nochevieja,QYNKPBi,ID_Y_HEADER_EXISTEN,QYNKPBi,Nochevieja
empieza_con_mayuscula,Noé,Noé,QZ7yTGo,ID_Y_HEADER_EXISTEN,QZ7yTGo,Noé
mayusculas,ONG,ONG,R4TmoR1,ID_Y_HEADER_EXISTEN,R4TmoR1,ONG
empieza_con_mayuscula,Pablo,Pablo,RO4tDSf,ID_Y_HEADER_EXISTEN,RO4tDSf,Pablo
empieza_con_mayuscula,Pandora,Pandora,RfJXNUl,ID_Y_HEADER_EXISTEN,RfJXNUl,Pandora
empieza_con_mayuscula,Paracleto,Paracleto,RpNlzoX,ID_Y_HEADER_EXISTEN,RpNlzoX,Paracleto
empieza_con_mayuscula,Parkinson,Parkinson,RwlF7MS,ID_Y_HEADER_EXISTEN,RwlF7MS,Parkinson
empieza_con_mayuscula,Paráclito,Paráclito,RpOyl8q,ID_Y_HEADER_EXISTEN,RpOyl8q,Paráclito
empieza_con_mayuscula,París,París,RwZXCbZ,ID_Y_HEADER_EXISTEN,RwZXCbZ,París
mayusculas,PCR,PCR,SEuV5Vh,ID_Y_HEADER_EXISTEN,SEuV5Vh,PCR
empieza_con_mayuscula,Pentecostés,Pentecostés,SUZRqwY,ID_Y_HEADER_EXISTEN,SUZRqwY,Pentecostés
empieza_con_mayuscula,Pernambuco,Pernambuco,SgCeowE,ID_Y_HEADER_EXISTEN,SgCeowE,Pernambuco
empieza_con_mayuscula,Perogrullo,Perogrullo,Sh54Lwn,ID_Y_HEADER_EXISTEN,Sh54Lwn,Perogrullo
mayusculas,PET,PET,SoqZZMD,ID_Y_HEADER_EXISTEN,SoqZZMD,PET
empieza_con_mayuscula,Petri,Petri,SqEfRp9,ID_Y_HEADER_EXISTEN,SqEfRp9,Petri
empieza_con_mayuscula,Peñaranda,Peñaranda,SUo2Avv,ID_Y_HEADER_EXISTEN,SUo2Avv,Peñaranda
minuscula,pH,pH,SrEA7mp,ID_Y_HEADER_EXISTEN,SrEA7mp,pH
empieza_con_mayuscula,Picio,Picio,SvU757d,ID_Y_HEADER_EXISTEN,SvU757d,Picio
mayusculas,PNN,PNN,TSJZosQ,ID_Y_HEADER_EXISTEN,TSJZosQ,PNN
empieza_con_mayuscula,Polonia,Polonia,TbNJDv9,ID_Y_HEADER_EXISTEN,TbNJDv9,Polonia
empieza_con_mayuscula,Prusia,Prusia,UVnBxQH,ID_Y_HEADER_EXISTEN,UVnBxQH,Prusia
empieza_con_mayuscula,Purísima,Purísima,UioNNDi,ID_Y_HEADER_EXISTEN,UioNNDi,Purísima
mayusculas,PVC,PVC,UkOAnCk,ID_Y_HEADER_EXISTEN,UkOAnCk,PVC
empieza_con_mayuscula,Pórtland,Pórtland,TliOXme,ID_Y_HEADER_EXISTEN,TliOXme,Pórtland
empieza_con_mayuscula,Quico,Quico,UpFXsr3,ID_Y_HEADER_EXISTEN,UpFXsr3,Quico
empieza_con_mayuscula,Ramos,Ramos,V6xQ3RC,ID_Y_HEADER_EXISTEN,V6xQ3RC,Ramos
mayusculas,RDSI,RDSI,VFx0o9A,ID_Y_HEADER_EXISTEN,VFx0o9A,RDSI
empieza_con_mayuscula,Rh,Rh,WRW1Put,ID_Y_HEADER_EXISTEN,WRW1Put,Rh
mayusculas,RNA,RNA,WX66t39,ID_Y_HEADER_EXISTEN,WX66t39,RNA
empieza_con_mayuscula,Rodas,Rodas,WasuXuu,ID_Y_HEADER_EXISTEN,WasuXuu,Rodas
empieza_con_mayuscula,Roma,Roma,WdJDhRZ,ID_Y_HEADER_EXISTEN,WdJDhRZ,Roma
empieza_con_mayuscula,Rubicón,Rubicón,WmJWenV,ID_Y_HEADER_EXISTEN,WmJWenV,Rubicón
empieza_con_mayuscula,Réaumur,Réaumur,VIf7XMT,ID_Y_HEADER_EXISTEN,VIf7XMT,Réaumur
empieza_con_mayuscula,Sajonia,Sajonia,X0VqmrU,ID_Y_HEADER_EXISTEN,X0VqmrU,Sajonia
empieza_con_mayuscula,Segovia,Segovia,XSQdlVL,ID_Y_HEADER_EXISTEN,XSQdlVL,Segovia
