categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_mayuscula,Caplán,Caplán,7L6ZRu6,ID_Y_HEADER_EXISTEN,7L6ZRu6,Caplán
empieza_con_mayuscula,Caravaca,Caravaca,7RMcPmO,ID_Y_HEADER_EXISTEN,7RMcPmO,Caravaca
empieza_con_mayuscula,Cardona,Cardona,7VxtTzx,ID_EXISTE_HEADER_NO,,Cardona<sup>2</sup>
empieza_con_mayuscula,Carracuca,Carracuca,7fGQZiD,ID_Y_HEADER_EXISTEN,7fGQZiD,Carracuca
empieza_con_mayuscula,Casio,Casio,7p9MO7l,ID_Y_HEADER_EXISTEN,7p9MO7l,Casio
empieza_con_mayuscula,Caín,Caín,6dhjQcK,ID_Y_HEADER_EXISTEN,6dhjQcK,Caín
mayusculas,CD,CD,846shPv,ID_Y_HEADER_EXISTEN,846shPv,CD
mayusculas,CD-ROM,CD-ROM,848XxEW,ID_Y_HEADER_EXISTEN,848XxEW,CD-ROM
empieza_con_mayuscula,Ceilán,Ceilán,87fFGPO,ID_Y_HEADER_EXISTEN,87fFGPO,Ceilán
empieza_con_mayuscula,Celsius,Celsius,8AUbMc4,ID_Y_HEADER_EXISTEN,8AUbMc4,Celsius
empieza_con_mayuscula,Chagas,Chagas,8TG2Y1j,ID_Y_HEADER_EXISTEN,8TG2Y1j,Chagas
empieza_con_mayuscula,Chiapa,Chiapa,8hyRAJC,ID_Y_HEADER_EXISTEN,8hyRAJC,Chiapa
empieza_con_mayuscula,Chile,Chile,8lFNNNW,ID_EXISTE_HEADER_NO,,Chile<sup>2</sup>
minuscula,chullpi,chullpi,93FixWj,ID_EXISTE_HEADER_NO,,chulpi
empieza_con_mayuscula,Cobos,Cobos,9XllUyQ,ID_Y_HEADER_EXISTEN,9XllUyQ,Cobos
empieza_con_mayuscula,Compostela,Compostela,A2W8Ict,ID_Y_HEADER_EXISTEN,A2W8Ict,Compostela
empieza_con_mayuscula,Congreve,Congreve,AJkPBQa,ID_Y_HEADER_EXISTEN,AJkPBQa,Congreve
empieza_con_mayuscula,Constantinopla,Constantinopla,AR98ykC,ID_Y_HEADER_EXISTEN,AR98ykC,Constantinopla
empieza_con_mayuscula,Coria,Coria,AsN6BCQ,ID_Y_HEADER_EXISTEN,AsN6BCQ,Coria
empieza_con_mayuscula,Corinto,Corinto,Asrumdo,ID_EXISTE_HEADER_NO,,Corinto<sup>1</sup>
empieza_con_mayuscula,Corpus,Corpus,AwSPUeK,ID_EXISTE_HEADER_NO,,Corpus<sup>1</sup>
empieza_con_mayuscula,Corán,Corán,AoOGgUs,ID_Y_HEADER_EXISTEN,AoOGgUs,Corán
mayusculas,COVID,COVID,BAjhQ3X,ID_Y_HEADER_EXISTEN,BAjhQ3X,COVID
empieza_con_mayuscula,Cribas,Cribas,BGAvibS,ID_Y_HEADER_EXISTEN,BGAvibS,Cribas
minuscula,cualesquier,cualesquier,BRMztn0,NINGUNO,,
