rae_id,csv_entry,returned_ids,returned_headers
5tZOZ1S,borcelana,5tZsySt,"borcelano, na"
5typqqf,bordelesa,5txfkSH,"bordelés, sa"
5vHgpyd,borracha,5vUhcNU,"borracho, cha"
5yDfPJa,botánica,5yEBpyu,"botánico, ca"
5yN4Cux,botaratas,5yHuTgQ,botarata
5yVMJin,botasillas,5yShPv0,botasilla
5z9FmzH,boticaria,5z9VGRk,"boticario, ria"
60sKeqS,boyera,60uUq3L,"boyero, ra"
60sVdoj,boyeriza,60uTUWh,"boyerizo, za"
65fV8MZ,briaga,65ik8iL,"briago, ga"
65yTZ0r,bribrí,65wRpG6,bribri
699Ft0l,bronca,69LnJZx,"bronco, ca"
69WNMlj,broncoscopía,69WHkmU,broncoscopia
69qsIls,bronquíolo,69od6fR,bronquiolo
6AlL5K9,bruja,6B6n5sS | 6B5aZOy,"brujo, ja | brujir"
6C3ZmTE,bruta,6CGZEfd,"bruto, ta"
6CoH6Gb,búcare,6Cn3RXS,bucare
6EBVPYJ,búe,6EAJ5UA,bue
6ENQo8x,buenaboya,60dVT1I | 60dVT1I#DUxgOmn,boya<sup>2</sup> | boya<sup>2</sup>
6EOCOdZ,buenamoza,PyIxduT,"mozo<sup>2</sup>, za"
6EZ15Wp,buenmozo,PyIxduT | PyIxduT#51vdLgh,"mozo<sup>2</sup>, za | mozo<sup>2</sup>, za"
6G5gSYo,buitrera,6G6g5Ay,"buitrero, ra"
6I1JM3Z,búmeran,6I1lgBT,bumerán
6ICIiCZ,buñuelera,6IDKIsn,"buñuelero, ra"
6JqkZJr,burra,6K7oz2e,"burro, rra"
6KqUz9P,buscabullas,6KlSkPr,buscabulla
6LI5faN,buscavida,6LKCbIR,buscavidas
6LSTZlw,buscona,6LMRV3G,"buscón, na"
6Llq14i,bustrofedon,6LnTpii,bustrófedon
6LoJHM9,bustrofedón,6LnTpii,bustrófedon
6NyKCwi,caballera,6OGpVP7,"caballero, ra"
6OE6Ftk,caballeriza,6OF33GD,"caballerizo, za"
6OdrTuQ,cabañera,6Oq2pTU,"cabañero, ra"
6Ox2dNI,cabaretera,6Oy0Rfc,"cabaretero, ra"
6SXUD6M,cabreriza,6SXto86,"cabrerizo, za"
6T0lbAk,cabrita,6T606b7,"cabrito, ta"
6TJDItk,cabruna,6TJdlWt,"cabruno, na"
6XQT0SH,cachiporrera,6XRwzKP,"cachiporrero, ra"
6YCTngC,cachonda,6YMKxqN,"cachondo, da"
6ZFxujS,cacica,6ZP63uo,"cacique, ca"
6ZfpqVS,cacoquimia,6ZlYeNN,"cacoquimio, mia"
6bDx50y,caduca,6bLxpQM | 6bFWOCG,"caduco, ca | caducar"
6bc0gYY,cafetera,6bdGFJA,"cafetero, ra"
6bxy7pl,cagaceite,6bxccWi,cagaaceite
6cSC5PW,caganido,6cULixs,caganidos
6chWtak,cagatinta,6cjANWQ,cagatintas
6d4BZnD,cahuama,6cyP0bz,caguama
6dG5xw6,caí,82F7jd1 | 6bQOL4n,cay | caer
6e4QhnE,cajera,6eFNou5,"cajero, ra"
6ecuDJF,cajonera,6eeKhO1,"cajonero, ra"
6exEP1E,calabacera,6exnNgG,"calabacero, ra"
6g6zK0F,caladora,6g6gB8L,"calador, ra"
6gmS6bf,calahuala,6ganN0i,calaguala
6j7pMOl,calcedonia,6jARdiv,"calcedonio, nia"
6jkCh8Q,calchona,6jjpPAp,"calchón, na"
6kjkEVg,calculadora,6kimUaQ,"calculador, ra"
6lQVPFD,calduda,6lQXbDK,"caldudo, da"
6o5pbzq,california,6oCO7Gs,"californio<sup>1</sup>, nia"
6p9TI6i,caliza,6pArVhO,"calizo, za"
6sJ19bp,calva,6sZxbij | 6sKPVyZ,"calvo, va | calvar"
6tk5ZuP,camándulas,6thxXNe,camándula
6u3QplN,camarera,6uEvTHn,"camarero, ra"
6ukAnk3,camaronera,6ukc385,"camaronero, ra"
6xvn5QH,caminí,6N1ceJ0,caaminí
6zyeRsF,campechana,707UlUd,"campechano, na"
70OdnwF,campera,70XA0mY,"campero, ra"
71vKMUT,"canáceo, a",79uddV9,"cannáceo, a"
72ztZtL,canastera,730Tmto,"canastero, ra"
73luDzY,canceladora,73l2Wsw,"cancelador, ra"
74klTGW,cancina,74kEN6h,"cancín, na"
75OcN9t,candangas,75LK5Zv,candanga
7673yC1,cándida,76UgiU7,"cándido, da"
77RkDnj,canela,77edlIZ,"canelo, la"
77SZsTD,canelada,77WcDhh,"canelado, da"
78155oN,cangagua,785OcAo,cangahua
78IvfcH,cangrejera,78KQ8E4,"cangrejero, ra"
79DXJoP,canillera,79HoBoa,"canillero, ra"
79PY1l3,canina,79UjoUa,"canino, na"
79tHxYO,cannabis,79u6KGh,cánnabis
7A8wRJg,canónica,7ADZ8tX,"canónico, ca"
7BfEuXq,cantarera,7BjGgWF,"cantarero, ra"
7CXfjMI,cántiga,7CWEXBW,cantiga
7CpS8oL,cantinera,7Cpn3pd,"cantinero, ra"
7DS08Dv,cantonera,7DUi0xw,"cantonero, ra"
7DXKGly,cantora,7DVvxzc,"cantor, ra"
7G0V3qB,cañera,7G8q4Ch,"cañero<sup>2</sup>, ra"
7GgArbP,cañiza,7GhGij5,"cañizo, za"
7GoG5KL,cañonera,7GpjDSf,"cañonero, ra"
7I7F8Yi,capataza,7I6zWYS,"capataz, za"
7Jqm3CJ,capirotada,7JwRKul,"capirotado, da"
7KQuZsP,capitana,7KQWsGX,"capitán, na"
7L6ybzy,capnomancía,7L6ovBf,capnomancia
7LZoORt,capotera,7LaBzbg,"capotero, ra"
7LeavSL,cappa,Mfzhpxy,kappa
