old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
YZzx3c2,"substancioso, sa",NOT_FOUND,,,,,
Ya5xzJQ,"substantivo, va",NOT_FOUND,,,,,
YaDaHzn,"substituidor, ra",NOT_FOUND,,,,,
YaIFTKq,"substitutivo, va",NOT_FOUND,,,,,
YaJi25v,"substituto, ta",NOT_FOUND,,,,,
YaM45Sy,"substitutorio, ria",NOT_FOUND,,,,,
YaOlidE,"substractivo, va",NOT_FOUND,,,,,
Yoq1wOt,"suscritor, ra",NOT_FOUND,,,,,
Xk4mr0x,"sétimo, ma",NOT_FOUND,,,,,
Y0efrTB,"síquico, ca",NOT_FOUND,,,,,
Z15kvaS,"talófito, ta",NOT_FOUND,,,,,
ZYMAkzW,"teridofito, ta",NOT_FOUND,,,,,
ZYQL5xG,"teridófito, ta",NOT_FOUND,,,,,
ZyOuGcn,"tolemaico, ca",NOT_FOUND,,,,,
Zz3wUlZ,"tolomeico, ca",NOT_FOUND,,,,,
aIb19oF,"transcendido, da",NOT_FOUND,,,,,
aKwNEBx,"translaticio, cia",NOT_FOUND,,,,,
aKwnBY0,"translativo, va",NOT_FOUND,,,,,
aLAPrEQ,"translúcido, da",NOT_FOUND,,,,,
aMYXIDx,"transponedor, ra",NOT_FOUND,,,,,
aMpWBiD,"transpositivo, va",NOT_FOUND,,,,,
aOt5pmD,"trasalpino, na",NOT_FOUND,,,,,
aOthgbp,"trasandino, na",NOT_FOUND,,,,,
aOz4ybe,"trasatlántico, ca",NOT_FOUND,,,,,
aP5BIwS,"trasbordador, ra",NOT_FOUND,,,,,
aPzXeID,"trascriptor, ra",NOT_FOUND,,,,,
aQZt5rd,"trasferidor, ra",NOT_FOUND,,,,,
aQfNHDn,"trasfijo, ja",NOT_FOUND,,,,,
aQqMFTd,"trasformador, ra",NOT_FOUND,,,,,
aQxHzb9,"trasformativo, va",NOT_FOUND,,,,,
aR01ONL,"trasfretano, na",NOT_FOUND,,,,,
aR3WK34,"trasfronterizo, za",NOT_FOUND,,,,,
aRErulx,"trasfusor, ra",NOT_FOUND,,,,,
aROS18X,"trasgresivo, va",NOT_FOUND,,,,,
aRPUfHw,"trasgresor, ra",NOT_FOUND,,,,,
aSNom77,"trasmarino, na",NOT_FOUND,,,,,
aSTaTCp,"trasmigratorio, ria",NOT_FOUND,,,,,
aSa3fFo,"trasmisor, ra",NOT_FOUND,,,,,
aSrxM0f,"trasmundano, na",NOT_FOUND,,,,,
aSwHcBo,"trasmutativo, va",NOT_FOUND,,,,,
aSyJ03S,"trasmutatorio, ria",NOT_FOUND,,,,,
aTMltSO,"trasoceánico, ca",NOT_FOUND,,,,,
aTTOvKb,"traspacífico, ca",NOT_FOUND,,,,,
aTUTebx,"traspadano, na",NOT_FOUND,,,,,
aU7HsqU,"traspirenaico, ca",NOT_FOUND,,,,,
aUUYRTn,"trasportador, ra",NOT_FOUND,,,,,
aVacRUf,"trastiberino, na",NOT_FOUND,,,,,
aWioXns,"trasverso, sa",NOT_FOUND,,,,,
bLu2MRq,"vaqueano, na",NOT_FOUND,,,,,
bMBc7pU,"vaquiano, na",NOT_FOUND,,,,,
bRRtTBM,"veimarés, sa",NOT_FOUND,,,,,
bhHEsdH,"vestfaliano, na",NOT_FOUND,,,,,
c7N4GIf,"xerofito, ta",NOT_FOUND,,,,,
c8eFTTm,"yacuto, ta",NOT_FOUND,,,,,
cHwLmUo,"zaíno, na",NOT_FOUND,,,,,
cHyYKYZ,"zaíno, na",NOT_FOUND,,,,,
cR17pQm,"zigofiláceo, a",NOT_FOUND,,,,,
cR76Qdq,"zigomorfo, fa",NOT_FOUND,,,,,
cR18vo9,"zigomático, ca",NOT_FOUND,,,,,
cRQFqUd,"zingiberáceo, a",NOT_FOUND,,,,,
cROvFzS,"zíngaro, ra",NOT_FOUND,,,,,
4eiLoTN,"ázimo, ma",NOT_FOUND,,,,,
Kriscrf,"íbero, ra",NOT_FOUND,,,,,
Hr0C0RL,"‒́fico, ca",NOT_FOUND,,,,,
I8gtgZw,"‒́fobo, ba",NOT_FOUND,,,,,
JL5MhfD,"‒́gono, na",NOT_FOUND,,,,,
akrudvg,"‒́trofo, fa",NOT_FOUND,,,,,
c3oGhJ2,"‒́voro, ra",NOT_FOUND,,,,,
06VsTFX,-able,RELATED_RESULT,5gagNwr,-ble,,,
0PIrrVu,-acha,RELATED_RESULT,0RmNxEl,"-acho, cha",,,
0SBXoGb,-achón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
0UA3ZBx,-ación,RELATED_RESULT,9I27Gyi,-ción,,,
0ryHaU5,-adura,RELATED_RESULT,EHGi0dJ,-dura,,,
1Lt96si,-aja,RELATED_RESULT,1Nu2z6d,"-ajo, ja",,,
1ODlufO,-ajón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
2K4DV1i,-amento,RELATED_RESULT,OxGaTig,-mento,,,
2LawU8M,-amiento,RELATED_RESULT,PDgi3bc,-miento,,,
2XMJWuw,-anca,RELATED_RESULT,2Y5X5Eg,"-anco, ca",,,
2Xiwer9,-ancia,RELATED_RESULT,QJb1Ewu,-ncia,,,
3OFFcWZ,-arada,RELATED_RESULT,0gYeQoM,-ada,,,
3OcnTet,-arajo,RELATED_RESULT,1Nu2z6d,"-ajo, ja",,,
3TTn0OY,-arda,RELATED_RESULT,3U7qnfa,"-ardo, da",,,
3UT4ta2,-areda,RELATED_RESULT,ENv5qJU,"-edo, da",,,
3YOm1pz,-aria,RELATED_RESULT,3YvWLaw,"-ario, ria",,,
3eWZduP,-arrada,RELATED_RESULT,0gYeQoM,-ada,,,
3evVv2y,-arrajo,RELATED_RESULT,1Nu2z6d,"-ajo, ja",,,
3li1D1e,"-arro, rra",RELATED_RESULT,3m5KHbm | 3mK5eTP | 3neRAUD | 3nshKZj,"arrobero, ra | arrocero, ra | arropera | arrostrar",,,
3nOEaqM,-arrón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
3wGcnoF,"-asco, ca",RELATED_RESULT,3wMJWgR | 3wOMn3j,"ascoroso, sa | ascoso, sa",,,
411V9qv,-asis,RELATED_RESULT,Y1ULCxP,-sis,,,
45Zlbwf,-astra,RELATED_RESULT,469POuD,"-astro, tra",,,
45s6f5P,-astre,RELATED_RESULT,469POuD,"-astro, tra",,,
46SgWle,"-astrón, na",RELATED_RESULT,46kfNvM,"astrónomo, ma",,,
481XZob,-ata,RELATED_RESULT,4GZKKGk,"-ato<sup>1</sup>, ta",,,
4crOWjF,-aza,RELATED_RESULT,4exBytk,"-azo, za",,,
30StUmq,-aña,RELATED_RESULT,31bMxWH,"-año, ña",,,
5Vqc7J7,-bilidad,RELATED_RESULT,BotFPGe,-dad,,,
8I7zs8i,-cer,RELATED_RESULT,EJWrQkt,-ecer,,,
8QNNVMi,"-cete, ta",RELATED_RESULT,XjmcBhM,setenta,,,
9AFD0eR,"-cico, ca",RELATED_RESULT,8jlpqwV,"chicoco, ca",,,
86XYrnu,-céfala,RELATED_RESULT,86ikLIW,"cefalo-, -céfalo, la",,,
CGfhSUV,-dera,RELATED_RESULT,CHlF9KT,"-dero, ra",,,
EN8Mgni,-eda,RELATED_RESULT,ENv5qJU,"-edo, da",,,
ENATORl,-edad,RELATED_RESULT,BotFPGe,-dad,,,
ENFwLx8,-edal,RELATED_RESULT,ENv5qJU,"-edo, da",,,
EORpzyf,-edura,RELATED_RESULT,EHGi0dJ,-dura,,,
ERh5MsS,-eja,RELATED_RESULT,ESjipMo,"-ejo, ja",,,
ESkmCZU,-ejón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
ESsj0Wl,-ela,RELATED_RESULT,EYJ7cNu,"-elo, la",,,
EZ2Ofo7,-ema,RELATED_RESULT,NkHD0gv,-ma,,,
EuQNprD,-ena,RELATED_RESULT,FXIPVAS,"-eno, na",,,
F64wazA,-encia,RELATED_RESULT,QJb1Ewu,-ncia,,,
FK4Muew,-enga,RELATED_RESULT,FNYQBJa,"-engo, ga",,,
GF6D1qs,"-esco, ca",RELATED_RESULT,GJVPkpE,escoscar,,,
GQmPBto,-esis,RELATED_RESULT,Y1ULCxP,-sis,,,
H3BkHkv,-eta,RELATED_RESULT,H3Sohu5,"-ete, ta",,,
H5GTUpN,-etón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
FuLB8zN,-eña,RELATED_RESULT,FuRDRsP,"-eño, ña",,,
KrqSttz,-ible,RELATED_RESULT,5gagNwr,-ble,,,
KsCJZny,-ición,RELATED_RESULT,9I27Gyi,-ción,,,
KtLQ9qb,-idad,RELATED_RESULT,BotFPGe,-dad,,,
KvGioHm,-idura,RELATED_RESULT,EHGi0dJ,-dura,,,
KvNh82L,-iense,RELATED_RESULT,FcdC0S8,-ense,,,
KytulPG,-illa,RELATED_RESULT,KywyhW2,"-illo, lla",,,
L11ttMb,-imento,RELATED_RESULT,OxGaTig,-mento,,,
L120iDS,-imiento,RELATED_RESULT,PDgi3bc,-miento,,,
La1teFQ,-inga,RELATED_RESULT,LaYEmoC,"-ingo, ga",,,
MEsPnbu,-iva,RELATED_RESULT,MExlfOK,"-ivo, va",,,
MF2CsuF,-iza,RELATED_RESULT,MFNRiP9,"-izo, za",,,
NPwyb64,-lisis,RELATED_RESULT,NPxuR3s,‒́lisis,,,
O8mbguA,-mancía,RELATED_RESULT,O8mZrDI,-mancia,,,
QgY70aB,-nta,RELATED_RESULT,QgZMpot,-nte,,,
Qx5xQD0,-oideo,RELATED_RESULT,Qx2UAfv,-oide,,,
Qx62D6n,-oides,RELATED_RESULT,Qx2UAfv,-oide,,,
RI6iTY9,-osis,RELATED_RESULT,Y1ULCxP,-sis,,,
XNSRYRE,-scopía,RELATED_RESULT,XNQVk1V,-scopia,,,
YUEHlL1,-strajo,RELATED_RESULT,1Nu2z6d,"-ajo, ja",,,
ZYamTRB,-terma,RELATED_RESULT,ZZOaeAE,"-termo, ma",,,
a59XZ51,-toria,RELATED_RESULT,a5DWohL,"-torio, ria",,,
00gSU3j,abadesa,RELATED_RESULT,00TuMgr,"abad, desa",,,
037e7SP,abarrisco,RELATED_RESULT,590yHEH | 590yHEH#DOnRwn8,barrisco | barrisco,,,
03oHciI,abatí,RELATED_RESULT,4X6XN6d | 03pLvZ5,avatí | abatir,,,
03tCzV4,abc,RELATED_RESULT,045miOw,abecé,,,
04N7aoS,abejera,RELATED_RESULT,04NPHBm,"abejero, ra",,,
05MCrQK,abierta,RELATED_RESULT,05NHYpw | 0BIq0lQ,"abierto, ta | abrir",,,
08IftT5,abonadora,RELATED_RESULT,08IZq5z,"abonador, ra",,,
0B3d5sT,abrigada,RELATED_RESULT,0B5Nz9K | 0B7O2Zd,"abrigado, da | abrigar",,,
0CQg6do,absoluta,RELATED_RESULT,0CY07hD,"absoluto, ta",,,
0KDGVKG,accesoria,RELATED_RESULT,0KIzcoq,"accesorio, ria",,,
0LG0QAi,acedia,RELATED_RESULT,0LK0RuN,acedía<sup>1</sup>,,,
0LU9i6U,acefalía,RELATED_RESULT,0LS4sqI,acefalia,,,
0Luaqmv,aceitera,RELATED_RESULT,0LvlrFG,"aceitero, ra",,,
0M0ZnQA,aceitunera,RELATED_RESULT,0M2c1cN,"aceitunero, ra",,,
0RPCYK9,achiotera,RELATED_RESULT,0RRGBU5,"achiotero, ra",,,
